[0605/171825.322:INFO:CONSOLE(0)] "Error with Permissions-Policy header: Unrecognized feature: 'interest-cohort'.", source:  (0)
[0605/171826.633:INFO:CONSOLE(1)] "Feature.WithoutFetch.Dropped.Time - top-picks - 123", source: https://d1zcggttmijv1z.cloudfront.net/_next/static/chunks/52.c17919a70fc962176400.js (1)
[0605/171826.633:INFO:CONSOLE(1)] "Feature.WithoutFetch.Complete.Time - from-your-watchlist - 123", source: https://d1zcggttmijv1z.cloudfront.net/_next/static/chunks/52.c17919a70fc962176400.js (1)
[0605/171826.633:INFO:CONSOLE(1)] "Feature.WithoutFetch.Dropped.Time - fan-picks - 116", source: https://d1zcggttmijv1z.cloudfront.net/_next/static/chunks/52.c17919a70fc962176400.js (1)
[0605/171826.634:INFO:CONSOLE(1)] "Feature.Fetching.Count - streaming-picks", source: https://d1zcggttmijv1z.cloudfront.net/_next/static/chunks/52.c17919a70fc962176400.js (1)
[0605/171826.639:INFO:CONSOLE(1)] "Feature.Fetching.Count - in-theaters", source: https://d1zcggttmijv1z.cloudfront.net/_next/static/chunks/52.c17919a70fc962176400.js (1)
[0605/171826.640:INFO:CONSOLE(1)] "Feature.WithoutFetch.Dropped.Time - top-box-office - 103", source: https://d1zcggttmijv1z.cloudfront.net/_next/static/chunks/52.c17919a70fc962176400.js (1)
[0605/171826.640:INFO:CONSOLE(1)] "Feature.Fetching.Count - coming-soon-movie", source: https://d1zcggttmijv1z.cloudfront.net/_next/static/chunks/52.c17919a70fc962176400.js (1)
[0605/171826.640:INFO:CONSOLE(1)] "Feature.Fetching.Count - born-today", source: https://d1zcggttmijv1z.cloudfront.net/_next/static/chunks/52.c17919a70fc962176400.js (1)
[0605/171826.640:INFO:CONSOLE(1)] "Feature.WithoutFetch.Complete.Time - top-news - 94", source: https://d1zcggttmijv1z.cloudfront.net/_next/static/chunks/52.c17919a70fc962176400.js (1)
[0605/171828.056:INFO:CONSOLE(1)] "Feature.WithFetch.Complete.Time - streaming-picks - 1531", source: https://d1zcggttmijv1z.cloudfront.net/_next/static/chunks/52.c17919a70fc962176400.js (1)
[0605/171828.058:INFO:CONSOLE(1)] "Feature.WithFetch.Dropped.Time - in-theaters - 1531", source: https://d1zcggttmijv1z.cloudfront.net/_next/static/chunks/52.c17919a70fc962176400.js (1)
[0605/171828.061:INFO:CONSOLE(1)] "Feature.WithFetch.Complete.Time - coming-soon-movie - 1529", source: https://d1zcggttmijv1z.cloudfront.net/_next/static/chunks/52.c17919a70fc962176400.js (1)
[0605/171828.063:INFO:CONSOLE(1)] "Feature.WithFetch.Complete.Time - born-today - 1525", source: https://d1zcggttmijv1z.cloudfront.net/_next/static/chunks/52.c17919a70fc962176400.js (1)
[0605/171850.341:INFO:CONSOLE(1)] "getting w3c.org", source: http://theoldnet.com/browser/js/app.d17c66d0.js (1)
[0605/171850.342:INFO:CONSOLE(1)] "setting loading from nav true", source: http://theoldnet.com/browser/js/app.d17c66d0.js (1)
[0605/171850.342:INFO:CONSOLE(1)] "setting loading to true", source: http://theoldnet.com/browser/js/app.d17c66d0.js (1)
[0605/171850.344:INFO:CONSOLE(1)] "Footer loading? true false", source: http://theoldnet.com/browser/js/app.d17c66d0.js (1)
[0605/171850.345:INFO:CONSOLE(1)] "timer 2", source: http://theoldnet.com/browser/js/app.d17c66d0.js (1)
[0605/171851.933:INFO:CONSOLE(1)] "GOT RESULT", source: http://theoldnet.com/browser/js/app.d17c66d0.js (1)
[0605/171851.933:INFO:CONSOLE(1)] "[object Object]", source: http://theoldnet.com/browser/js/app.d17c66d0.js (1)
[0605/171851.933:INFO:CONSOLE(1)] "setting loading from nav false", source: http://theoldnet.com/browser/js/app.d17c66d0.js (1)
[0605/171851.933:INFO:CONSOLE(1)] "setting loading to false", source: http://theoldnet.com/browser/js/app.d17c66d0.js (1)
[0605/171851.933:INFO:CONSOLE(1)] "UPDATE DOCUMENT", source: http://theoldnet.com/browser/js/app.d17c66d0.js (1)
[0605/171851.935:INFO:CONSOLE(1)] "new html", source: http://theoldnet.com/browser/js/app.d17c66d0.js (1)
